Month,Borough,Percentage
2016-01,Bronx,0.08439327546028501
2016-01,Brooklyn,1.7166242913547094
2016-01,Manhattan,92.27769368177479
2016-01,Queens,5.919806532168166
2016-01,Staten Island,0.0014822192420396903
2016-02,Bronx,0.08082394875499053
2016-02,Brooklyn,1.6753753302871692
2016-02,Manhattan,92.83255294620666
2016-02,Queens,5.406737210697558
2016-02,Staten Island,0.004510564053626945
2016-03,Bronx,0.08861111576836783
2016-03,Brooklyn,1.7754293739916143
2016-03,Manhattan,92.33946328627212
2016-03,Queens,5.791500778764973
2016-03,Staten Island,0.0049954452029324385
